n,input,val
0, 0.690001, 0.771232
1, 0.505418, 0.874966
2, 0.591491, 0.830119
3, 0.554785, 0.850006
4, 0.378429, 0.929255
5, 0.257732, 0.966969
6, 0.207382, 0.978573
7, 0.626262, 0.810225
8, 0.340127, 0.942707
9, 0.843852, 0.664580
10, 0.068778, 0.997633
11, 0.409907, 0.917168
12, 0.879994, 0.637164
13, 0.319480, 0.949401
14, 0.980568, 0.556574
15, 0.085005, 0.996389
16, 0.907629, 0.615615
17, 0.102509, 0.994750
18, 0.921978, 0.604252
19, 0.507551, 0.873931
20, 0.872289, 0.643063
21, 0.333260, 0.944982
22, 0.692409, 0.769724
23, 0.556946, 0.848878
24, 0.361915, 0.935214
25, 0.031994, 0.999486
26, 0.858511, 0.653563
27, 0.098984, 0.995107
28, 0.877068, 0.639409
29, 0.449259, 0.900780
30, 0.432193, 0.908035
31, 0.606268, 0.821792
32, 0.927838, 0.599571
33, 0.664286, 0.787369
34, 0.395365, 0.922859
35, 0.438469, 0.905415
36, 0.652125, 0.794794
37, 0.928864, 0.598742
38, 0.949143, 0.582355
39, 0.307336, 0.953146
40, 0.596483, 0.827315
41, 0.783076, 0.708755
42, 0.338030, 0.943416
43, 0.805253, 0.692934
44, 0.942197, 0.587995
45, 0.066473, 0.997791
46, 0.857087, 0.654625
47, 0.977218, 0.559308
48, 0.889646, 0.629703
49, 0.545276, 0.854982
50, 0.864372, 0.649116
51, 0.457773, 0.897038
52, 0.800219, 0.696530
53, 0.873706, 0.641987
54, 0.821818, 0.680877
55, 0.185726, 0.982799
56, 0.086265, 0.996278
57, 0.638156, 0.803201
58, 0.233828, 0.972789
59, 0.462722, 0.894840
60, 0.007420, 0.999971
61, 0.635011, 0.805048
62, 0.421251, 0.912583
63, 0.953658, 0.578678
64, 0.210120, 0.978003
65, 0.970751, 0.564658
66, 0.261253, 0.966063
67, 0.857064, 0.654671
68, 0.581333, 0.835725
69, 0.707318, 0.760092
70, 0.285975, 0.959389
71, 0.318204, 0.949804
72, 0.643952, 0.799734
73, 0.858518, 0.653563
74, 0.668890, 0.784500
75, 0.443150, 0.903413
76, 0.055895, 0.998438
77, 0.777453, 0.712703
78, 0.594693, 0.828312
79, 0.102082, 0.994794
80, 0.299554, 0.955462
81, 0.950719, 0.581113
82, 0.665720, 0.786467
83, 0.947724, 0.583546
84, 0.879439, 0.637578
85, 0.700866, 0.764278
86, 0.375987, 0.930156
87, 0.613482, 0.817633
88, 0.863141, 0.650048
89, 0.136171, 0.990740
90, 0.439685, 0.904894
91, 0.274572, 0.962545
92, 0.186810, 0.982596
93, 0.506164, 0.874610
94, 0.570510, 0.841640
95, 0.672828, 0.782073
96, 0.623627, 0.811761
97, 0.061298, 0.998122
98, 0.550456, 0.852282
99, 0.563954, 0.845148
100, 0.536581, 0.859473
101, 0.104234, 0.994574
102, 0.599533, 0.825600
103, 0.276324, 0.962064
104, 0.342357, 0.941973
105, 0.740289, 0.738269
106, 0.963842, 0.570387
107, 0.311473, 0.951880
108, 0.376387, 0.929996
109, 0.559672, 0.847424
110, 0.472638, 0.890356
111, 0.971370, 0.564157
112, 0.634130, 0.805593
113, 0.354448, 0.937846
114, 0.373001, 0.931248
115, 0.339981, 0.942766
116, 0.002677, 0.999994
117, 0.734097, 0.742452
118, 0.590458, 0.830697
119, 0.599771, 0.825462
120, 0.877106, 0.639361
121, 0.306950, 0.953257
122, 0.013229, 0.999912
123, 0.998994, 0.541168
124, 0.534592, 0.860472
125, 0.830587, 0.674463
126, 0.928720, 0.598839
127, 0.002964, 0.999994
128, 0.450898, 0.900061
129, 0.726400, 0.747582
130, 0.304525, 0.953992
131, 0.936558, 0.592564
132, 0.112419, 0.993681
133, 0.325639, 0.947453
134, 0.121612, 0.992616
135, 0.916852, 0.608327
136, 0.880928, 0.636458
137, 0.898193, 0.623043
138, 0.252825, 0.968204
139, 0.528782, 0.863410
140, 0.958946, 0.574388
141, 0.243022, 0.970616
142, 0.406622, 0.918452
143, 0.964543, 0.569786
144, 0.915079, 0.609730
145, 0.710338, 0.758145
146, 0.099036, 0.995101
147, 0.691387, 0.770346
148, 0.862630, 0.650418
149, 0.248644, 0.969250
150, 0.271635, 0.963333
151, 0.968955, 0.566170
152, 0.101085, 0.994892
153, 0.425426, 0.910854
154, 0.899592, 0.621943
155, 0.932525, 0.595802
156, 0.110419, 0.993905
157, 0.914127, 0.610456
158, 0.384267, 0.927077
159, 0.791799, 0.702549
160, 0.091640, 0.995804
161, 0.328822, 0.946414
162, 0.004649, 0.999987
163, 0.920217, 0.605659
164, 0.614281, 0.817175
165, 0.206161, 0.978824
166, 0.108044, 0.994163
167, 0.269391, 0.963939
168, 0.141238, 0.990041
169, 0.520217, 0.867722
170, 0.591367, 0.830186
171, 0.219745, 0.975945
172, 0.625472, 0.810690
173, 0.984779, 0.553068
174, 0.536509, 0.859506
175, 0.157713, 0.987587
176, 0.820645, 0.681728
177, 0.814756, 0.686037
178, 0.295478, 0.956659
179, 0.518894, 0.868360
180, 0.031685, 0.999496
181, 0.359492, 0.936075
182, 0.307095, 0.953218
183, 0.025597, 0.999669
184, 0.736044, 0.741142
185, 0.911353, 0.612677
186, 0.907240, 0.615903
187, 0.257599, 0.967001
188, 0.476692, 0.888516
189, 0.097347, 0.995261
190, 0.273407, 0.962858
191, 0.779995, 0.710904
192, 0.846282, 0.662754
193, 0.155228, 0.987977
194, 0.552132, 0.851417
195, 0.830276, 0.674686
196, 0.140745, 0.990108
197, 0.925650, 0.601330
198, 0.272549, 0.963089
199, 0.550672, 0.852188
200, 0.484813, 0.884761
201, 0.799396, 0.697145
202, 0.001781, 0.999996
203, 0.931250, 0.596833
204, 0.045872, 0.998949
205, 0.102565, 0.994744
206, 0.745318, 0.734885
207, 0.347863, 0.940092
208, 0.733485, 0.742864
209, 0.998947, 0.541168
210, 0.334606, 0.944544
211, 0.162482, 0.986828
212, 0.982515, 0.554949
213, 0.641458, 0.801232
214, 0.134288, 0.990996
215, 0.563230, 0.845540
216, 0.186803, 0.982596
217, 0.077637, 0.996983
218, 0.599554, 0.825600
219, 0.932339, 0.595954
220, 0.421556, 0.912459
221, 0.161666, 0.986957
222, 0.435347, 0.906730
223, 0.541947, 0.856718
224, 0.558061, 0.848295
225, 0.964099, 0.570135
226, 0.467163, 0.892843
227, 0.095114, 0.995478
228, 0.301261, 0.954956
229, 0.550835, 0.852091
230, 0.097653, 0.995233
231, 0.062728, 0.998034
232, 0.373406, 0.931091
233, 0.000037, 0.999999
234, 0.237400, 0.971951
235, 0.519132, 0.868239
236, 0.321798, 0.948674
237, 0.942734, 0.587600
238, 0.282732, 0.960296
239, 0.213699, 0.977247
240, 0.571295, 0.841212
241, 0.257934, 0.966923
242, 0.884446, 0.633724
243, 0.006630, 0.999976
244, 0.381617, 0.928058
245, 0.317279, 0.950086
246, 0.568942, 0.842464
247, 0.294122, 0.957050
248, 0.445862, 0.902231
249, 0.511252, 0.872145
250, 0.233626, 0.972833
251, 0.993706, 0.545573
252, 0.515830, 0.869897
253, 0.060545, 0.998168
254, 0.515374, 0.870109
255, 0.531230, 0.862177
256, 0.037778, 0.999284
257, 0.241098, 0.971066
258, 0.965251, 0.569185
259, 0.317803, 0.949920
260, 0.380930, 0.928304
261, 0.660893, 0.789431
262, 0.895641, 0.624997
263, 0.399734, 0.921154
264, 0.345183, 0.941004
265, 0.399865, 0.921108
266, 0.499394, 0.877872
267, 0.667837, 0.785179
268, 0.319395, 0.949420
269, 0.245740, 0.969950
270, 0.609753, 0.819807
271, 0.505701, 0.874849
272, 0.569418, 0.842201
273, 0.607273, 0.821201
274, 0.598909, 0.825944
275, 0.991706, 0.547258
276, 0.134367, 0.990987
277, 0.537245, 0.859133
278, 0.025308, 0.999681
